cpforcnpj,name,email,password,department,telefone
35746895102,Isabela Rodrigues Costa,isabela.rodrigues@email.com,Isabela@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654340
46895135702,Gabriel Silva Lima,gabriel.silva@email.com,Gabriel@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654341
95135746802,Larissa Oliveira Santos,larissa.oliveira@email.com,Larissa@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654342
35795146802,Rafael Costa Lima,rafael.costa@email.com,Rafael@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654343
46835795102,Mariana Ferreira Santos,mariana.ferreira@email.com,Mariana@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654344
95146835702,Lucas Mendes Costa,lucas.mendes@email.com,Lucas@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654345
35746895102,Beatriz Alves Lima,beatriz.alves@email.com,Beatriz@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654346
46895135702,Henrique Pereira Santos,henrique.pereira@email.com,Henrique@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654347
95135746802,Amanda Rodrigues Costa,amanda.rodrigues@email.com,Amanda@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654348
35795146802,Guilherme Silva Lima,guilherme.silva@email.com,Guilherme@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654349
46835795102,Carolina Oliveira Santos,carolina.oliveira@email.com,Carolina@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654350
95146835702,Vinícius Costa Lima,vinicius.costa@email.com,Vinicius@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654351
35746895102,Letícia Ferreira Santos,leticia.ferreira@email.com,Leticia@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654352
46895135702,Matheus Almeida Costa,matheus.almeida@email.com,Matheus@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654353
95135746802,Sofia Mendes Lima,sofia.mendes@email.com,Sofia@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654354
35795146802,Leonardo Rodrigues Santos,leonardo.rodrigues@email.com,Leonardo@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654355
46835795102,Valentina Silva Costa,valentina.silva@email.com,Valentina@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654356
95146835702,Arthur Oliveira Lima,arthur.oliveira@email.com,Arthur@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654357
35746895102,Helena Pereira Santos,helena.pereira@email.com,Helena@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654358
46895135702,Bernardo Costa Lima,bernardo.costa@email.com,Bernardo@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654359
95135746802,Alice Ferreira Santos,alice.ferreira@email.com,Alice@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654360
35795146802,Theo Almeida Costa,theo.almeida@email.com,Theo@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654361
46835795102,Laura Mendes Lima,laura.mendes@email.com,Laura@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654362
95146835702,Davi Rodrigues Santos,davi.rodrigues@email.com,Davi@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654363
35795146802,Gabriela Silva Costa,gabriela.silva@email.com,Gabriela@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654364
46895135702,Samuel Oliveira Lima,samuel.oliveira@email.com,Samuel@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654365
95135746802,Julia Pereira Santos,julia.pereira@email.com,Julia@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654366
35795146802,Enzo Costa Lima,enzo.costa@email.com,Enzo@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654367
46835795102,Manuela Ferreira Santos,manuela.ferreira@email.com,Manuela@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654368
95146835702,Lorenzo Almeida Costa,lorenzo.almeida@email.com,Lorenzo@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654369
35795146802,Cecília Mendes Lima,cecilia.mendes@email.com,Cecilia@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654370
46895135702,João Miguel Rodrigues Santos,joao.miguel@email.com,JoaoMiguel@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654371
95135746802,Isadora Silva Costa,isadora.silva@email.com,Isadora@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654372
35795146802,Benjamin Oliveira Lima,benjamin.oliveira@email.com,Benjamin@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654373
46895135702,Lívia Pereira Santos,livia.pereira@email.com,Livia@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654374
95146835702,João Pedro Costa Lima,joao.pedro@email.com,JoaoPedro@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654375
35795146802,Clara Ferreira Santos,clara.ferreira@email.com,Clara@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654376
46895135702,Lucca Almeida Costa,lucca.almeida@email.com,Lucca@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654377
95135746802,Marina Mendes Lima,marina.mendes@email.com,Marina@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654378
35795146802,Antônio Rodrigues Santos,antonio.rodrigues@email.com,Antonio@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654379
46895135702,Heloísa Silva Costa,heloisa.silva@email.com,Heloisa@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654380
95135746802,Heitor Oliveira Lima,heitor.oliveira@email.com,Heitor@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654381
35795146802,Lara Pereira Santos,lara.pereira@email.com,Lara@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654382
46895135702,Theo Costa Lima,theo.costa@email.com,Theo@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654383
95135746802,Valentina Ferreira Santos,valentina.ferreira@email.com,Valentina@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654384
35795146802,Arthur Almeida Costa,arthur.almeida@email.com,Arthur@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654385
46895135702,Alice Mendes Lima,alice.mendes@email.com,Alice@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654386
95135746802,Bernardo Rodrigues Santos,bernardo.rodrigues@email.com,Bernardo@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654387
35795146802,Sofia Silva Costa,sofia.silva@email.com,Sofia@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654388
46895135702,Leonardo Oliveira Lima,leonardo.oliveira@email.com,Leonardo@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654389
95135746802,Helena Pereira Santos,helena.pereira@email.com,Helena@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654390
35795146802,Matheus Costa Lima,matheus.costa@email.com,Matheus@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654391
46895135702,Laura Ferreira Santos,laura.ferreira@email.com,Laura@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654392
95135746802,Samuel Almeida Costa,samuel.almeida@email.com,Samuel@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654393
35795146802,Julia Mendes Lima,julia.mendes@email.com,Julia@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654394
46895135702,Enzo Rodrigues Santos,enzo.rodrigues@email.com,Enzo@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654395
95135746802,Manuela Silva Costa,manuela.silva@email.com,Manuela@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654396
35795146802,Lorenzo Oliveira Lima,lorenzo.oliveira@email.com,Lorenzo@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654397
46895135702,Cecília Pereira Santos,cecilia.pereira@email.com,Cecilia@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654398
95135746802,João Miguel Costa Lima,joao.miguel@email.com,JoaoMiguel@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654399
35795146802,Isadora Ferreira Santos,isadora.ferreira@email.com,Isadora@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654400
